time,lat,long,throttle
0.0,44.49280578,-79.18132927,61.5
0.05,44.49280578,-79.18132927,61.5
0.1,44.49280578,-79.18132927,61.5
0.15,44.49280578,-79.18132927,61.5
0.2,44.49280578,-79.18132927,61.5
0.25,44.49280578,-79.18132927,61.5
0.3,44.49280578,-79.18132927,61.5
0.35,44.49280578,-79.18132927,61.5
0.4,44.49280578,-79.18132927,61.5
0.45,44.49280578,-79.18132927,61.5
0.5,44.49280578,-79.18132927,61.5
0.55,44.49280578,-79.18132927,61.5
0.6,44.49280578,-79.18132927,61.5
0.65,44.49280578,-79.18132927,61.5
0.7,44.49280578,-79.18132927,61.5
0.75,44.49280578,-79.18132927,61.5
0.8,44.492806,-79.1813299,61.5
0.85,44.49280644,-79.1813311,61.5
0.9,44.49280694,-79.18133249,62.2744
0.95,44.49280751,-79.18133406,63.2244
1.0,44.49280815,-79.1813358,64.4467
1.05,44.49280884,-79.18133771,66.4878
1.1,44.49280962,-79.18133973,71.4322
1.15,44.49281046,-79.18134186,75.3267
1.2,44.4928114,-79.18134422,77.7711
1.25,44.49281241,-79.18134679,81.1111
1.3,44.49281349,-79.1813495,85.0
1.35,44.49281463,-79.18135235,89.9822
1.4,44.4928158,-79.1813553,95.1122
1.45,44.49281699,-79.18135834,95.7233
1.5,44.4928182,-79.18136155,96.2733
1.55,44.49281942,-79.18136491,96.6067
1.6,44.4928207,-79.18136842,96.9167
1.65,44.49282205,-79.18137207,97.1945
1.7,44.49282347,-79.18137584,97.4378
1.75,44.49282497,-79.18137973,97.66
1.8,44.49282656,-79.18138373,97.6544
1.85,44.49282824,-79.18138785,97.6
1.9,44.4928299,-79.18139218,97.6
1.95,44.49283156,-79.18139671,97.6
2.0,44.49283329,-79.18140137,97.6
2.05,44.49283509,-79.18140614,97.6
2.1,44.49283699,-79.181411,97.6
2.15,44.49283897,-79.18141593,97.6
2.2,44.49284101,-79.18142109,97.6
2.25,44.4928431,-79.18142646,97.6456
2.3,44.49284525,-79.18143197,97.6989
2.35,44.49284746,-79.18143761,97.6433
2.4,44.49284975,-79.18144338,97.6
2.45,44.49285211,-79.18144927,97.6
2.5,44.49285459,-79.18145534,97.6
2.55,44.49285718,-79.18146158,97.6
2.6,44.49285981,-79.18146797,97.6
2.65,44.49286249,-79.1814745,97.6
2.7,44.49286534,-79.18148115,97.6456
2.75,44.49286833,-79.1814879,97.7
2.8,44.49287141,-79.18149477,97.7
2.85,44.49287458,-79.18150173,97.7122
2.9,44.49287785,-79.18150882,97.7678
2.95,44.4928812,-79.18151601,97.8
3.0,44.49288472,-79.1815233,97.8
3.05,44.49288838,-79.18153067,97.8
3.1,44.49289216,-79.181538,97.8
3.15,44.49289607,-79.18154528,97.8
3.2,44.49290013,-79.1815527,97.6389
3.25,44.49290432,-79.18156024,89.5833
3.3,44.49290859,-79.18156783,73.1189
3.35,44.49291295,-79.18157545,26.8411
3.4,44.49291742,-79.18158303,0.0
3.45,44.492922,-79.18159057,0.0
3.5,44.49292658,-79.18159805,2.2044
3.55,44.49293118,-79.18160546,5.76
3.6,44.49293587,-79.18161291,36.5122
3.65,44.49294067,-79.18162039,72.7789
3.7,44.49294545,-79.18162778,86.7233
3.75,44.49295023,-79.18163507,97.6367
3.8,44.49295504,-79.18164226,97.8033
3.85,44.4929599,-79.18164937,97.7833
3.9,44.49296489,-79.1816567,97.5056
3.95,44.49297001,-79.18166424,97.4689
4.0,44.49297522,-79.18167179,97.58
4.05,44.4929805,-79.18167937,97.6456
4.1,44.49298584,-79.18168701,97.6989
4.15,44.49299123,-79.1816947,97.6433
4.2,44.49299667,-79.18170252,97.6
4.25,44.49300215,-79.18171047,97.6
4.3,44.49300769,-79.18171853,97.6
4.35,44.49301329,-79.18172669,97.6
4.4,44.49301894,-79.18173487,97.6
4.45,44.49302464,-79.18174308,97.6
4.5,44.4930304,-79.18175141,97.6
4.55,44.49303621,-79.18175984,97.6
4.6,44.49304208,-79.1817683,97.6
4.65,44.493048,-79.18177678,97.6
4.7,44.49305394,-79.18178536,97.6
4.75,44.49305991,-79.18179403,97.5767
4.8,44.49306593,-79.18180279,97.5211
4.85,44.49307201,-79.18181163,95.8811
4.9,44.49307808,-79.18182054,93.27
4.95,44.49308414,-79.18182952,71.07
5.0,44.49309026,-79.18183859,45.04
5.05,44.49309644,-79.18184775,42.04
5.1,44.49310252,-79.18185696,39.48
5.15,44.49310851,-79.18186621,38.48
5.2,44.4931144,-79.18187553,37.83
5.25,44.49312021,-79.18188493,37.6633
5.3,44.49312587,-79.18189445,37.6
5.35,44.49313139,-79.18190409,37.6
5.4,44.4931368,-79.18191389,38.0556
5.45,44.49314212,-79.18192383,38.59
5.5,44.49314723,-79.18193384,38.09
5.55,44.49315214,-79.18194392,37.6756
5.6,44.49315685,-79.18195416,37.5644
5.65,44.49316138,-79.18196454,37.6633
5.7,44.49316574,-79.18197498,38.0522
5.75,44.49316996,-79.18198547,38.1656
5.8,44.49317403,-79.18199607,38.11
5.85,44.49317798,-79.18200675,38.92
5.9,44.49318162,-79.18201753,39.9122
5.95,44.49318497,-79.18202838,40.5233
6.0,44.49318806,-79.18203938,41.0978
6.05,44.49319093,-79.1820505,41.5422
6.1,44.49319349,-79.18206173,41.8233
6.15,44.49319576,-79.18207305,41.8789
6.2,44.4931978,-79.18208443,41.6244
6.25,44.49319964,-79.18209585,41.18
6.3,44.49320125,-79.18210727,41.3733
6.35,44.49320267,-79.1821187,41.7056
6.4,44.49320372,-79.18213017,41.9833
6.45,44.49320444,-79.18214168,42.2122
6.5,44.49320501,-79.18215319,42.2678
6.55,44.49320543,-79.18216469,42.2533
6.6,44.49320565,-79.18217619,42.1422
6.65,44.49320566,-79.18218768,41.9278
6.7,44.49320538,-79.18219914,41.65
6.75,44.49320484,-79.18221058,41.8733
6.8,44.49320405,-79.182222,42.2022
6.85,44.49320302,-79.18223341,42.3133
6.9,44.49320188,-79.18224469,42.4367
6.95,44.49320064,-79.18225585,42.6033
7.0,44.49319902,-79.18226687,43.4
7.05,44.49319705,-79.18227778,45.0667
7.1,44.49319483,-79.18228853,46.3889
7.15,44.49319238,-79.18229913,47.5
7.2,44.49318974,-79.18230959,47.9278
7.25,44.49318695,-79.18231993,48.2289
7.3,44.49318398,-79.18233019,49.6733
7.35,44.49318085,-79.1823404,51.0933
7.4,44.49317742,-79.18235027,52.4267
7.45,44.49317371,-79.18235982,53.48
7.5,44.49316981,-79.18236929,54.1467
7.55,44.49316573,-79.18237866,55.95
7.6,44.49316153,-79.18238794,58.45
7.65,44.49315721,-79.18239712,68.5578
7.7,44.49315264,-79.18240609,80.28
7.75,44.49314783,-79.18241485,89.28
7.8,44.49314287,-79.18242349,96.4344
7.85,44.49313778,-79.18243203,97.0456
7.9,44.4931325,-79.18244044,97.3767
7.95,44.49312704,-79.18244875,97.3211
8.0,44.49312136,-79.18245696,97.3
8.05,44.4931155,-79.1824651,97.3
8.1,44.49310949,-79.18247317,97.3456
8.15,44.49310336,-79.18248118,97.4011
8.2,44.49309701,-79.18248903,97.4567
8.25,44.49309046,-79.18249671,97.5
8.3,44.49308378,-79.18250427,97.5
8.35,44.49307698,-79.18251169,97.5467
8.4,44.49307004,-79.18251903,97.6578
8.45,44.49306297,-79.18252628,97.6656
8.5,44.49305576,-79.1825334,97.61
8.55,44.49304844,-79.1825404,97.6
8.6,44.49304095,-79.18254721,97.6
8.65,44.4930333,-79.18255382,97.6
8.7,44.49302554,-79.18256029,97.6
